prev/cur	(3.0, False)	(3.0, True)	(2.0, True)	(2.0, False)	(5.0, False)	(5.0, True)	(1.0, False)	(4.0, True)	(1.0, True)	(4.0, False)
(3.0, False)	207	64	0	8	0	0	0	38	0	65
(3.0, True)	68	111	6	7	0	1	0	81	0	24
(2.0, True)	4	6	1	2	0	0	1	1	0	0
(2.0, False)	6	5	4	19	1	0	2	0	0	0
(5.0, False)	0	0	0	0	37	16	0	15	0	37
(5.0, True)	0	0	0	0	22	78	0	80	0	16
(1.0, False)	0	0	1	0	0	1	1	0	1	0
(4.0, True)	35	94	2	1	20	77	0	644	0	215
(1.0, True)	0	0	1	0	0	0	0	0	0	0
(4.0, False)	62	18	0	0	25	23	0	229	0	303
