prev/cur	(0, True)	(-1, True)	(0, False)	(-2, True)	(-1, False)	(-2, False)	(-3, False)	(2, True)	(-3, True)	(2, False)	(-4, False)	(1, False)	(1, True)
(0, True)	119	42	34	4	20	0	0	3	0	1	0	4	34
(-1, True)	37	60	13	16	24	12	1	0	1	0	0	1	2
(0, False)	44	8	42	0	20	0	0	0	0	0	0	8	8
(-2, True)	4	19	0	15	5	13	1	0	2	0	0	0	0
(-1, False)	16	29	19	7	35	12	0	0	0	0	0	0	1
(-2, False)	1	7	1	10	15	28	5	0	1	0	0	0	0
(-3, False)	0	0	0	5	0	3	7	0	0	0	3	0	0
(2, True)	2	0	1	0	0	0	0	0	0	1	0	1	4
(-3, True)	1	0	0	2	0	0	1	0	3	0	0	0	0
(2, False)	0	0	1	0	0	0	0	0	0	1	0	0	2
(-4, False)	0	0	0	0	0	0	3	0	0	0	1	0	0
(1, False)	5	2	11	0	0	0	0	2	0	0	0	11	6
(1, True)	31	1	8	0	0	0	0	4	0	1	0	12	41
