prev/cur	(0, True)	(-5, False)	(-1, True)	(0, False)	(-2, True)	(-2, False)	(-1, False)	(-5, True)	(-3, False)	(2, True)	(2, False)	(-3, True)	(-4, True)	(-4, False)	(1, False)	(1, True)
(0, True)	323	0	122	99	10	1	53	0	0	1	0	0	0	0	21	92
(-5, False)	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
(-1, True)	112	0	152	28	44	26	67	0	3	0	0	3	0	0	3	4
(0, False)	106	0	23	121	0	3	66	0	0	1	0	0	0	0	26	24
(-2, True)	7	0	42	0	35	34	11	0	7	0	0	5	0	1	0	0
(-2, False)	4	0	19	1	23	86	54	0	12	0	0	2	0	0	0	0
(-1, False)	61	0	76	61	15	37	147	0	1	0	0	0	0	0	2	2
(-5, True)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
(-3, False)	0	0	0	0	9	11	1	0	15	0	0	2	0	6	0	0
(2, True)	4	0	0	1	0	0	0	0	0	2	0	0	0	0	3	8
(2, False)	0	0	0	1	0	0	0	0	0	1	3	0	0	0	2	2
(-3, True)	1	1	0	0	6	2	0	0	3	0	0	3	0	1	0	0
(-4, True)	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
(-4, False)	0	2	0	0	0	0	0	0	3	0	0	1	1	5	1	0
(1, False)	16	0	2	40	0	0	2	0	0	3	1	0	0	0	62	19
(1, True)	88	0	5	18	0	0	1	0	0	10	5	0	0	0	25	101
